Created on 05-12-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-05-12 05-PM,BTCUSD,8314.9,8329.1,8314.9,8329.1,0.0,0.0
2018-05-12 04-PM,BTCUSD,8337.6,8399.7,8266,8314.9,2985.71,24822770.55
2018-05-12 03-PM,BTCUSD,8488.6,8500.1,8317,8337.6,1884.85,15814940.25
2018-05-12 02-PM,BTCUSD,8527,8527.1,8450,8488.6,1556.01,13209402.93
2018-05-12 01-PM,BTCUSD,8609.9,8629.9,8527,8527,1057.52,9067457.5
2018-05-12 12-PM,BTCUSD,8518.6,8631.7,8518.6,8609.9,1534.38,13165311.44
2018-05-12 11-AM,BTCUSD,8573.3,8580,8481.1,8518.6,1180.87,10066763.67
2018-05-12 10-AM,BTCUSD,8506.8,8579.1,8455,8573.3,1892.71,16111944.38
2018-05-12 09-AM,BTCUSD,8249.8,8530,8218.2,8506.8,3431.87,28762095.47
2018-05-12 08-AM,BTCUSD,8328.7,8328.8,8234.3,8249.8,1665.85,13795579.34
2018-05-12 07-AM,BTCUSD,8300,8347.4,8267.1,8328.7,1579.97,13127182.13
2018-05-12 06-AM,BTCUSD,8315,8330.1,8204.41,8300,3760.73,31072576.17
2018-05-12 05-AM,BTCUSD,8381.6,8390,8296.6,8315,2554.67,21281212.79
2018-05-12 04-AM,BTCUSD,8407.4,8448.8,8367.75,8381.6,491.85,4135510.53
2018-05-12 03-AM,BTCUSD,8432.3,8462.7,8340.5,8407.4,752.21,6314653.84
2018-05-12 02-AM,BTCUSD,8449.7,8486.5,8395.5,8432.3,1690.58,14270921.48
2018-05-12 01-AM,BTCUSD,8460.2,8482.7,8368.8,8449.7,2090.83,17644292.38
2018-05-12 12-AM,BTCUSD,8412.4,8471.2,8412.4,8460.2,716.04,6045706.2
2018-05-11 11-PM,BTCUSD,8425.1,8484,8368.6,8412.4,817.93,6894188.78
2018-05-11 10-PM,BTCUSD,8385.3,8466,8383.5,8425.1,1215.87,10253961.74
2018-05-11 09-PM,BTCUSD,8436.5,8450,8333.8,8385.3,1853.76,15557575.76
2018-05-11 08-PM,BTCUSD,8600.2,8635.6,8383.52,8436.5,4928.51,41785756.98
2018-05-11 07-PM,BTCUSD,8616.5,8675.6,8599.5,8600.2,1040.45,8994118.38
2018-05-11 06-PM,BTCUSD,8596.4,8655.2,8566,8616.5,832.81,7171520.04
2018-05-11 05-PM,BTCUSD,8639.4,8650,8550.2,8596.4,788.77,6784941.65
2018-05-11 04-PM,BTCUSD,8578,8679.8,8564,8639.4,1415.44,12198724.12
2018-05-11 03-PM,BTCUSD,8638.88,8652.8,8555,8578,1098.44,9445065.06
2018-05-11 02-PM,BTCUSD,8533.8,8669.6,8529.7,8638.88,1643.61,14153183.93
2018-05-11 01-PM,BTCUSD,8545.5,8624,8523,8533.8,1831.22,15689958.36
2018-05-11 12-PM,BTCUSD,8626.2,8626.2,8510,8545.5,5324.11,45602594.76
2018-05-11 11-AM,BTCUSD,8728.1,8744.4,8625,8626.2,2918.96,25357870.32
2018-05-11 10-AM,BTCUSD,8750,8790.7,8705.7,8728.1,1693.11,14815388.32
2018-05-11 09-AM,BTCUSD,8794.5,8794.6,8675,8750,2441.47,21299730.64
2018-05-11 08-AM,BTCUSD,8740.1,8831.5,8735.4,8794.5,2892.93,25433320.1
2018-05-11 07-AM,BTCUSD,8820,8856.6,8690,8740.1,8154.42,71501104.57
2018-05-11 06-AM,BTCUSD,9001.1,9001.4,8820,8820,3770.25,33522765.42
2018-05-11 05-AM,BTCUSD,8945.9,9004.4,8945.8,9001.1,974.22,8747249.67
2018-05-11 04-AM,BTCUSD,8925.7,8972.8,8925.6,8945.9,525.12,4700430.1
2018-05-11 03-AM,BTCUSD,8900,8939,8899.9,8925.7,371.02,3310236.37
