Created on 05-12-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-05-12 04-PM,ADAETH,0.00039,0.0003947,0.000385,0.0003881,262017.67,101.52
2018-05-12 03-PM,ADAETH,0.0003918,0.0003948,0.0003881,0.00039,103795.38,40.63
2018-05-12 02-PM,ADAETH,0.000394,0.0003963,0.00039,0.0003918,274925.1,108.4
2018-05-12 01-PM,ADAETH,0.000401,0.000401,0.0003933,0.000394,59602.04,23.66
2018-05-12 12-PM,ADAETH,0.0003918,0.0004038,0.0003918,0.000401,136400.32,54.71
2018-05-12 11-AM,ADAETH,0.0003948,0.0003975,0.0003901,0.0003918,284680.38,112.19
2018-05-12 10-AM,ADAETH,0.000388,0.0003975,0.0003855,0.0003948,513407.56,201.56
2018-05-12 09-AM,ADAETH,0.0003751,0.0003911,0.0003731,0.000388,133461.09,51.2
2018-05-12 08-AM,ADAETH,0.0003794,0.0003805,0.0003741,0.0003751,65657.46,24.81
2018-05-12 07-AM,ADAETH,0.0003777,0.0003819,0.000375,0.0003794,292935.31,110.84
2018-05-12 06-AM,ADAETH,0.0003741,0.000381,0.0003642,0.0003777,624858.07,230.56
2018-05-12 05-AM,ADAETH,0.000381,0.0003816,0.000371,0.0003741,409212.21,154.51
2018-05-12 04-AM,ADAETH,0.0003821,0.0003825,0.0003808,0.000381,42666.16,16.27
2018-05-12 03-AM,ADAETH,0.0003833,0.0003872,0.0003821,0.0003821,187466.99,72.1
2018-05-12 02-AM,ADAETH,0.0003835,0.000388,0.0003808,0.0003833,33308.54,12.78
2018-05-12 01-AM,ADAETH,0.0003863,0.000387,0.0003793,0.0003835,35093.34,13.42
2018-05-12 12-AM,ADAETH,0.000379,0.000388,0.000379,0.0003863,105571.03,40.76
2018-05-11 11-PM,ADAETH,0.000379,0.0003847,0.000378,0.000379,151267.17,57.71
2018-05-11 10-PM,ADAETH,0.000378,0.000387,0.000378,0.000379,44089.79,16.95
2018-05-11 09-PM,ADAETH,0.0003807,0.0003819,0.000378,0.000378,29541.05,11.22
