Created on 05-12-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-05-12 04-PM,ETHBTC,0.07896,0.07977,0.07887,0.07903,356.35,28.3
2018-05-12 03-PM,ETHBTC,0.07938,0.0795,0.0787,0.07896,404.53,31.96
2018-05-12 02-PM,ETHBTC,0.0791,0.0796,0.07811,0.07938,522.94,41.22
2018-05-12 01-PM,ETHBTC,0.07965,0.0798,0.0789,0.0791,505.88,40.08
2018-05-12 12-PM,ETHBTC,0.07938,0.07978,0.07925,0.07965,1399.02,111.4
2018-05-12 11-AM,ETHBTC,0.07929,0.07963,0.0787,0.07938,1096.88,86.91
2018-05-12 10-AM,ETHBTC,0.078,0.0794,0.078,0.07929,3527.41,276.06
2018-05-12 09-AM,ETHBTC,0.078,0.078,0.07768,0.078,4921.2,383.77
2018-05-12 08-AM,ETHBTC,0.07835,0.07835,0.07784,0.078,879.59,68.68
2018-05-12 07-AM,ETHBTC,0.07843,0.07843,0.07677,0.07835,6049.52,469.53
2018-05-12 06-AM,ETHBTC,0.07909,0.07919,0.0776,0.07843,2393.37,187.35
2018-05-12 05-AM,ETHBTC,0.08019,0.08046,0.07909,0.07909,972.21,77.54
2018-05-12 04-AM,ETHBTC,0.08039,0.0806,0.08019,0.08019,210.76,16.94
2018-05-12 03-AM,ETHBTC,0.08104,0.08104,0.08032,0.08039,1551.46,125.18
2018-05-12 02-AM,ETHBTC,0.08065,0.08127,0.08062,0.08104,661.94,53.65
2018-05-12 01-AM,ETHBTC,0.081,0.081,0.08062,0.08065,291.54,23.56
2018-05-12 12-AM,ETHBTC,0.08068,0.081,0.0805,0.081,280.34,22.68
2018-05-11 11-PM,ETHBTC,0.08066,0.08095,0.08042,0.08068,321.97,25.99
2018-05-11 10-PM,ETHBTC,0.0799,0.08069,0.07964,0.08066,397.04,31.96
2018-05-11 09-PM,ETHBTC,0.08004,0.08014,0.07951,0.0799,181.21,14.48
2018-05-11 08-PM,ETHBTC,0.07982,0.08019,0.07954,0.08004,214.23,17.12
2018-05-11 07-PM,ETHBTC,0.07984,0.08021,0.07938,0.07982,350.53,27.95
2018-05-11 06-PM,ETHBTC,0.07929,0.07986,0.07882,0.07984,299.27,23.72
2018-05-11 05-PM,ETHBTC,0.0798,0.08033,0.07929,0.07929,341.2,27.25
2018-05-11 04-PM,ETHBTC,0.07945,0.08007,0.07933,0.0798,574.85,45.87
2018-05-11 03-PM,ETHBTC,0.07959,0.07966,0.07891,0.07945,425.96,33.79
2018-05-11 02-PM,ETHBTC,0.07834,0.07966,0.07824,0.07959,611.8,48.44
2018-05-11 01-PM,ETHBTC,0.07939,0.07948,0.07819,0.07834,564.2,44.53
2018-05-11 12-PM,ETHBTC,0.07868,0.07948,0.07841,0.07939,1329.54,104.88
2018-05-11 11-AM,ETHBTC,0.079,0.07916,0.07842,0.07868,1159.38,91.47
2018-05-11 10-AM,ETHBTC,0.07917,0.07949,0.07876,0.079,800.04,63.26
2018-05-11 09-AM,ETHBTC,0.0797,0.07994,0.07848,0.07917,592.37,46.81
2018-05-11 08-AM,ETHBTC,0.07939,0.08069,0.07906,0.0797,1765.34,141.41
2018-05-11 07-AM,ETHBTC,0.0808,0.08119,0.07871,0.07939,3406.93,271.65
2018-05-11 06-AM,ETHBTC,0.08166,0.08195,0.0808,0.0808,656.66,53.43
2018-05-11 05-AM,ETHBTC,0.08203,0.08207,0.08155,0.08166,218.71,17.88
2018-05-11 04-AM,ETHBTC,0.08177,0.0822,0.0817,0.08203,747.23,61.26
2018-05-11 03-AM,ETHBTC,0.08131,0.08196,0.0813,0.08177,407.2,33.27
2018-05-11 02-AM,ETHBTC,0.08139,0.0816,0.08131,0.08131,396.18,32.29
2018-05-11 01-AM,ETHBTC,0.08119,0.0816,0.0811,0.08139,303.11,24.67
2018-05-11 12-AM,ETHBTC,0.0801,0.08144,0.07991,0.08119,777.55,62.68
2018-05-10 11-PM,ETHBTC,0.08063,0.0807,0.08006,0.0801,854.95,68.63
2018-05-10 10-PM,ETHBTC,0.08094,0.08112,0.08063,0.08063,193.96,15.68
2018-05-10 09-PM,ETHBTC,0.08098,0.08127,0.08078,0.08094,162.01,13.12
2018-05-10 08-PM,ETHBTC,0.08121,0.08126,0.08078,0.08098,499.62,40.45
2018-05-10 07-PM,ETHBTC,0.08124,0.08138,0.08096,0.08121,231.29,18.77
2018-05-10 06-PM,ETHBTC,0.0809,0.08125,0.08068,0.08124,438.56,35.51
2018-05-10 05-PM,ETHBTC,0.08164,0.0817,0.08072,0.0809,1812.91,147.28
2018-05-10 04-PM,ETHBTC,0.08156,0.08175,0.08131,0.08164,682.07,55.65
2018-05-10 10-AM,ETHBTC,0.08188,0.08188,0.08144,0.08144,144.31,11.77
2018-05-10 09-AM,ETHBTC,0.08146,0.08191,0.08146,0.08188,170.66,13.95
2018-05-10 08-AM,ETHBTC,0.08151,0.08183,0.08141,0.08146,267.13,21.82
2018-05-10 07-AM,ETHBTC,0.08132,0.08173,0.0813,0.08151,100.45,8.19
2018-05-10 06-AM,ETHBTC,0.08182,0.08182,0.0812,0.08132,174.63,14.23
